,Year,State,County,Office,Democratic,Republican
0,2018,AZ,apache,US Senator,16298.0,7810.0
1,2018,AZ,cochise,US Senator,17383.0,26929.0
2,2018,AZ,coconino,US Senator,34240.0,19249.0
3,2018,AZ,gila,US Senator,7643.0,12180.0
4,2018,AZ,graham,US Senator,3368.0,6870.0
5,2018,AZ,la paz,US Senator,1609.0,3265.0
6,2018,AZ,maricopa,US Senator,732671.0,672505.0
7,2018,AZ,mohave,US Senator,19214.0,50209.0
8,2018,AZ,navajo,US Senator,16624.0,18767.0
9,2018,AZ,pima,US Senator,221242.0,160550.0
10,2018,AZ,santa cruz,US Senator,9241.0,3828.0
11,2018,AZ,yavapai,US Senator,40160.0,65308.0
12,2018,CT,fairfield,US Senator,210899.0,131321.0
13,2018,CT,hartford,US Senator,203591.0,123864.0
14,2018,CT,middlesex,US Senator,42383.0,32836.0
15,2018,CT,new haven,US Senator,179714.0,126004.0
16,2018,CT,tolland,US Senator,34732.0,28046.0
17,2018,CT,windham,US Senator,20490.0,19032.0
18,2018,DE,sussex,US Senator,40675.0,50391.0
19,2018,FL,alachua,US Senator,74493.0,40599.0
20,2018,FL,baker,US Senator,1945.0,8579.0
21,2018,FL,bay,US Senator,16723.0,46681.0
22,2018,FL,bradford,US Senator,2879.0,7576.0
23,2018,FL,brevard,US Senator,121112.0,160305.0
24,2018,FL,broward,US Senator,472239.0,211397.0
25,2018,FL,charlotte,US Senator,33525.0,52916.0
26,2018,FL,citrus,US Senator,22660.0,48008.0
27,2018,FL,collier,US Senator,54390.0,101266.0
28,2018,FL,desoto,US Senator,3328.0,5503.0
29,2018,FL,dixie,US Senator,1322.0,4442.0
30,2018,FL,duval,US Senator,192381.0,185904.0
31,2018,FL,escambia,US Senator,52891.0,75947.0
32,2018,FL,flagler,US Senator,21419.0,31467.0
33,2018,FL,franklin,US Senator,2011.0,3404.0
34,2018,FL,gadsden,US Senator,13945.0,6051.0
35,2018,FL,gilchrist,US Senator,1633.0,5703.0
36,2018,FL,glades,US Senator,1156.0,2666.0
37,2018,FL,gulf,US Senator,1580.0,4321.0
38,2018,FL,hamilton,US Senator,1671.0,2856.0
39,2018,FL,hendry,US Senator,3542.0,5304.0
40,2018,FL,hillsborough,US Senator,281661.0,239641.0
41,2018,FL,holmes,US Senator,856.0,5919.0
42,2018,FL,indian river,US Senator,29195.0,44798.0
43,2018,FL,jackson,US Senator,5182.0,10791.0
44,2018,FL,lafayette,US Senator,623.0,2195.0
45,2018,FL,lake,US Senator,61402.0,93537.0
46,2018,FL,leon,US Senator,91097.0,48767.0
47,2018,FL,madison,US Senator,3425.0,4184.0
48,2018,FL,manatee,US Senator,68877.0,94390.0
49,2018,FL,marion,US Senator,59025.0,95592.0
50,2018,FL,martin,US Senator,30691.0,46733.0
51,2018,FL,miami-dade,US Senator,485496.0,316020.0
52,2018,FL,monroe,US Senator,18051.0,18035.0
53,2018,FL,nassau,US Senator,11703.0,31795.0
54,2018,FL,okeechobee,US Senator,3496.0,7727.0
55,2018,FL,orange,US Senator,294308.0,180763.0
56,2018,FL,osceola,US Senator,67123.0,47898.0
57,2018,FL,pinellas,US Senator,228712.0,205935.0
58,2018,FL,polk,US Senator,105748.0,138751.0
59,2018,FL,putnam,US Senator,9344.0,18689.0
60,2018,FL,santa rosa,US Senator,19047.0,56374.0
61,2018,FL,sarasota,US Senator,96973.0,113585.0
62,2018,FL,seminole,US Senator,101504.0,97457.0
